WindowText,AutomationId,ControlType,ClassName,DepthPath
 Sensitivity Analysis Wizard - Abbey A-02,frmOrphSensitivity,Window,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02
 Sensitivity Parameter Matrix Wizard,frmSensitivityMatrix,Window,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard
 Parameter Value Editor - BHA Depth,frmParameterValueEditor,Window,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth
,SplitContainer1,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1
,3349074,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074
,Panel3,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3
,pnlNumeric,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric
Descending,cmdDescending,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/Descending
Ascending,cmdAscending,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/Ascending
Sort the list,CtesLabel1,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/Sort the list
,cmdAdds,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/cmdAdds
,cmdAdd,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/cmdAdd
ft,GroupBox2,Group,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/ft
,txtVal,Edit,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/txtVal
,txtStep,Edit,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/txtStep
,txtMax,Edit,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/txtMax
